"column";"variable"
1;"T"
2;"bias"
3;"CIW"
4;"cov"
5;"R_mean_X"
6;"R_mean_Z1"
7;"R_mean_Z2"
8;"R_mean_Y"
9;"R_var_X"
10;"R_var_Z1"
11;"R_var_Z2"
12;"R_var_Y"
13;"AC_mean_X"
14;"AC_mean_Z1"
15;"AC_mean_Z2"
16;"AC_mean_Y"
17;"AC_var_X"
18;"AC_var_Z1"
19;"AC_var_Z2"
20;"AC_var_Y"
21;"between_mean_X"
22;"between_mean_Z1"
23;"between_mean_Z2"
24;"between_mean_Y"
25;"between_var_X"
26;"between_var_Z1"
27;"between_var_Z2"
28;"between_var_Y"
29;"within_mean_X"
30;"within_mean_Z1"
31;"within_mean_Z2"
32;"within_mean_Y"
33;"within_var_X"
34;"within_var_Z1"
35;"within_var_Z2"
36;"within_var_Y"
37;"bias_LL"
38;"CIW_LL"
39;"cov_LL"
40;"R_mean_X_LL"
41;"R_mean_Z1_LL"
42;"R_mean_Z2_LL"
43;"R_mean_Y_LL"
44;"R_var_X_LL"
45;"R_var_Z1_LL"
46;"R_var_Z2_LL"
47;"R_var_Y_LL"
48;"AC_mean_X_LL"
49;"AC_mean_Z1_LL"
50;"AC_mean_Z2_LL"
51;"AC_mean_Y_LL"
52;"AC_var_X_LL"
53;"AC_var_Z1_LL"
54;"AC_var_Z2_LL"
55;"AC_var_Y_LL"
56;"between_mean_X_LL"
57;"between_mean_Z1_LL"
58;"between_mean_Z2_LL"
59;"between_mean_Y_LL"
60;"between_var_X_LL"
61;"between_var_Z1_LL"
62;"between_var_Z2_LL"
63;"between_var_Y_LL"
64;"within_mean_X_LL"
65;"within_mean_Z1_LL"
66;"within_mean_Z2_LL"
67;"within_mean_Y_LL"
68;"within_var_X_LL"
69;"within_var_Z1_LL"
70;"within_var_Z2_LL"
71;"within_var_Y_LL"
72;"bias_UL"
73;"CIW_UL"
74;"cov_UL"
75;"R_mean_X_UL"
76;"R_mean_Z1_UL"
77;"R_mean_Z2_UL"
78;"R_mean_Y_UL"
79;"R_var_X_UL"
80;"R_var_Z1_UL"
81;"R_var_Z2_UL"
82;"R_var_Y_UL"
83;"AC_mean_X_UL"
84;"AC_mean_Z1_UL"
85;"AC_mean_Z2_UL"
86;"AC_mean_Y_UL"
87;"AC_var_X_UL"
88;"AC_var_Z1_UL"
89;"AC_var_Z2_UL"
90;"AC_var_Y_UL"
91;"between_mean_X_UL"
92;"between_mean_Z1_UL"
93;"between_mean_Z2_UL"
94;"between_mean_Y_UL"
95;"between_var_X_UL"
96;"between_var_Z1_UL"
97;"between_var_Z2_UL"
98;"between_var_Y_UL"
99;"within_mean_X_UL"
100;"within_mean_Z1_UL"
101;"within_mean_Z2_UL"
102;"within_mean_Y_UL"
103;"within_var_X_UL"
104;"within_var_Z1_UL"
105;"within_var_Z2_UL"
106;"within_var_Y_UL"
