"column";"variable"
1;"T"
2;"bias.mean.X1"
3;"bias.mean.X2"
4;"bias.mean.X3"
5;"bias.mean.Y"
6;"R.mean.X1"
7;"R.mean.X2"
8;"R.mean.X3"
9;"R.mean.Y"
10;"AC.mean.X1"
11;"AC.mean.X2"
12;"AC.mean.X3"
13;"AC.mean.Y"
14;"between.mean.X1"
15;"between.mean.X2"
16;"between.mean.X3"
17;"between.mean.Y"
18;"within.mean.X1"
19;"within.mean.X2"
20;"within.mean.X3"
21;"within.mean.Y"
22;"bias.sd.X1"
23;"bias.sd.X2"
24;"bias.sd.X3"
25;"bias.sd.Y"
26;"R.var.X1"
27;"R.var.X2"
28;"R.var.X3"
29;"R.var.Y"
30;"AC.var.X1"
31;"AC.var.X2"
32;"AC.var.X3"
33;"AC.var.Y"
34;"pca.1"
35;"pca.2"
36;"pca.3"
37;"pca.4"
38;"pca.5"
39;"bias.est..Intercept."
40;"bias.est.X1"
41;"bias.est.X2"
42;"bias.est.X3"
43;"CIW.est.1"
44;"CIW.est.2"
45;"CIW.est.3"
46;"CIW.est.4"
47;"cov.est..Intercept."
48;"cov.est.X1"
49;"cov.est.X2"
50;"cov.est.X3"
51;"R.sq"
52;"bias.R.s"
53;"RMSE.1"
54;"RMSE.2"
55;"RMSE.3"
56;"RMSE.4"
57;"RMSE.5"
58;"MAE.1"
59;"MAE.2"
60;"MAE.3"
61;"MAE.4"
62;"MAE.5"
63;"error.var"
64;"bias.sigma"
65;"bias.mean.X1.LL"
66;"bias.mean.X2.LL"
67;"bias.mean.X3.LL"
68;"bias.mean.Y.LL"
69;"R.mean.X1.LL"
70;"R.mean.X2.LL"
71;"R.mean.X3.LL"
72;"R.mean.Y.LL"
73;"AC.mean.X1.LL"
74;"AC.mean.X2.LL"
75;"AC.mean.X3.LL"
76;"AC.mean.Y.LL"
77;"between.mean.X1.LL"
78;"between.mean.X2.LL"
79;"between.mean.X3.LL"
80;"between.mean.Y.LL"
81;"within.mean.X1.LL"
82;"within.mean.X2.LL"
83;"within.mean.X3.LL"
84;"within.mean.Y.LL"
85;"bias.sd.X1.LL"
86;"bias.sd.X2.LL"
87;"bias.sd.X3.LL"
88;"bias.sd.Y.LL"
89;"R.var.X1.LL"
90;"R.var.X2.LL"
91;"R.var.X3.LL"
92;"R.var.Y.LL"
93;"AC.var.X1.LL"
94;"AC.var.X2.LL"
95;"AC.var.X3.LL"
96;"AC.var.Y.LL"
97;"pca.1.LL"
98;"pca.2.LL"
99;"pca.3.LL"
100;"pca.4.LL"
101;"pca.5.LL"
102;"bias.est..Intercept..LL"
103;"bias.est.X1.LL"
104;"bias.est.X2.LL"
105;"bias.est.X3.LL"
106;"CIW.est.1.LL"
107;"CIW.est.2.LL"
108;"CIW.est.3.LL"
109;"CIW.est.4.LL"
110;"cov.est..Intercept..LL"
111;"cov.est.X1.LL"
112;"cov.est.X2.LL"
113;"cov.est.X3.LL"
114;"R.sq.LL"
115;"bias.R.s.LL"
116;"RMSE.1.LL"
117;"RMSE.2.LL"
118;"RMSE.3.LL"
119;"RMSE.4.LL"
120;"RMSE.5.LL"
121;"MAE.1.LL"
122;"MAE.2.LL"
123;"MAE.3.LL"
124;"MAE.4.LL"
125;"MAE.5.LL"
126;"error.var.LL"
127;"bias.sigma.LL"
128;"bias.mean.X1.UL"
129;"bias.mean.X2.UL"
130;"bias.mean.X3.UL"
131;"bias.mean.Y.UL"
132;"R.mean.X1.UL"
133;"R.mean.X2.UL"
134;"R.mean.X3.UL"
135;"R.mean.Y.UL"
136;"AC.mean.X1.UL"
137;"AC.mean.X2.UL"
138;"AC.mean.X3.UL"
139;"AC.mean.Y.UL"
140;"between.mean.X1.UL"
141;"between.mean.X2.UL"
142;"between.mean.X3.UL"
143;"between.mean.Y.UL"
144;"within.mean.X1.UL"
145;"within.mean.X2.UL"
146;"within.mean.X3.UL"
147;"within.mean.Y.UL"
148;"bias.sd.X1.UL"
149;"bias.sd.X2.UL"
150;"bias.sd.X3.UL"
151;"bias.sd.Y.UL"
152;"R.var.X1.UL"
153;"R.var.X2.UL"
154;"R.var.X3.UL"
155;"R.var.Y.UL"
156;"AC.var.X1.UL"
157;"AC.var.X2.UL"
158;"AC.var.X3.UL"
159;"AC.var.Y.UL"
160;"pca.1.UL"
161;"pca.2.UL"
162;"pca.3.UL"
163;"pca.4.UL"
164;"pca.5.UL"
165;"bias.est..Intercept..UL"
166;"bias.est.X1.UL"
167;"bias.est.X2.UL"
168;"bias.est.X3.UL"
169;"CIW.est.1.UL"
170;"CIW.est.2.UL"
171;"CIW.est.3.UL"
172;"CIW.est.4.UL"
173;"cov.est..Intercept..UL"
174;"cov.est.X1.UL"
175;"cov.est.X2.UL"
176;"cov.est.X3.UL"
177;"R.sq.UL"
178;"bias.R.s.UL"
179;"RMSE.1.UL"
180;"RMSE.2.UL"
181;"RMSE.3.UL"
182;"RMSE.4.UL"
183;"RMSE.5.UL"
184;"MAE.1.UL"
185;"MAE.2.UL"
186;"MAE.3.UL"
187;"MAE.4.UL"
188;"MAE.5.UL"
189;"error.var.UL"
190;"bias.sigma.UL"
